#options: 640x480 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=2 keyint=90 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1200 ratetol=1.0 qcomp=0.60 qpmin=10 qpmax=51 qpstep=4 ip_ratio=1.41 aq=1:1.00
in:106 out:106 type:P dur:2 cpbdur:2 q:27.36 aq:22.03 tex:23401 mv:3094 misc:1121 imb:28 pmb:494 smb:678 d:- ref:0 ;
in:107 out:107 type:P dur:2 cpbdur:2 q:27.36 aq:22.28 tex:32291 mv:2684 misc:1097 imb:14 pmb:526 smb:660 d:- ref:0 ;
in:108 out:108 type:P dur:2 cpbdur:2 q:27.26 aq:22.65 tex:15521 mv:1989 misc:994 imb:5 pmb:379 smb:816 d:- ref:0 ;
in:109 out:109 type:P dur:2 cpbdur:2 q:27.28 aq:21.50 tex:37287 mv:3595 misc:1198 imb:20 pmb:651 smb:529 d:- ref:0 ;
in:110 out:110 type:P dur:2 cpbdur:2 q:27.19 aq:22.05 tex:17076 mv:2310 misc:1022 imb:10 pmb:414 smb:776 d:- ref:0 ;
in:111 out:111 type:P dur:2 cpbdur:2 q:27.17 aq:22.14 tex:33549 mv:3188 misc:1151 imb:20 pmb:580 smb:600 d:- ref:0 ;
in:112 out:112 type:P dur:2 cpbdur:2 q:27.11 aq:22.61 tex:19233 mv:2551 misc:1024 imb:8 pmb:461 smb:731 d:- ref:0 ;
in:113 out:113 type:P dur:2 cpbdur:2 q:27.10 aq:22.51 tex:29854 mv:2635 misc:999 imb:16 pmb:495 smb:689 d:- ref:0 ;
in:114 out:114 type:P dur:2 cpbdur:2 q:27.01 aq:21.96 tex:24255 mv:2740 misc:1061 imb:19 pmb:484 smb:697 d:- ref:0 ;
in:115 out:115 type:P dur:2 cpbdur:2 q:27.02 aq:22.21 tex:29707 mv:3191 misc:1094 imb:21 pmb:565 smb:614 d:- ref:0 ;
in:116 out:116 type:P dur:2 cpbdur:2 q:26.94 aq:21.78 tex:34457 mv:3055 misc:1128 imb:24 pmb:571 smb:605 d:- ref:0 ;
in:117 out:117 type:P dur:2 cpbdur:2 q:26.93 aq:22.10 tex:15986 mv:2231 misc:1055 imb:7 pmb:405 smb:788 d:- ref:0 ;
in:118 out:118 type:P dur:2 cpbdur:2 q:26.86 aq:21.07 tex:40784 mv:3621 misc:1187 imb:27 pmb:659 smb:514 d:- ref:0 ;
in:119 out:119 type:P dur:2 cpbdur:2 q:26.83 aq:22.09 tex:16163 mv:2025 misc:972 imb:11 pmb:385 smb:804 d:- ref:0 ;
in:120 out:120 type:P dur:2 cpbdur:2 q:26.79 aq:21.74 tex:30407 mv:2727 misc:1050 imb:17 pmb:487 smb:696 d:- ref:0 ;
