#options: 640x480 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=2 keyint=90 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1200 ratetol=1.0 qcomp=0.60 qpmin=10 qpmax=51 qpstep=4 ip_ratio=1.41 aq=1:1.00
in:90 out:90 type:I dur:2 cpbdur:2 q:27.72 aq:23.22 tex:281085 mv:42799 misc:76 imb:1200 pmb:0 smb:0 d:- ref:;
in:91 out:91 type:P dur:2 cpbdur:2 q:30.21 aq:26.75 tex:4164 mv:1976 misc:1036 imb:9 pmb:316 smb:875 d:- ref:0 ;
in:92 out:92 type:P dur:2 cpbdur:2 q:30.11 aq:25.34 tex:9042 mv:2914 misc:1300 imb:16 pmb:472 smb:712 d:- ref:0 ;
in:93 out:93 type:P dur:2 cpbdur:2 q:30.04 aq:25.74 tex:6619 mv:2341 misc:1128 imb:22 pmb:347 smb:831 d:- ref:0 ;
in:94 out:94 type:P dur:2 cpbdur:2 q:29.94 aq:25.92 tex:11953 mv:3224 misc:1327 imb:26 pmb:514 smb:660 d:- ref:0 ;
in:95 out:95 type:P dur:2 cpbdur:2 q:29.86 aq:25.62 tex:8724 mv:2119 misc:1181 imb:14 pmb:379 smb:807 d:- ref:0 ;
in:96 out:96 type:P dur:2 cpbdur:2 q:30.92 aq:26.60 tex:6531 mv:2789 misc:1120 imb:11 pmb:385 smb:804 d:- ref:0 ;
in:97 out:97 type:P dur:2 cpbdur:2 q:30.77 aq:26.57 tex:6478 mv:2407 misc:1123 imb:8 pmb:375 smb:817 d:- ref:0 ;
in:98 out:98 type:P dur:2 cpbdur:2 q:30.65 aq:25.55 tex:11628 mv:3469 misc:1351 imb:20 pmb:579 smb:601 d:- ref:0 ;
in:99 out:99 type:P dur:2 cpbdur:2 q:30.52 aq:26.84 tex:9334 mv:2478 misc:1204 imb:20 pmb:422 smb:758 d:- ref:0 ;
in:100 out:100 type:P dur:2 cpbdur:2 q:30.42 aq:26.63 tex:7115 mv:2630 misc:1143 imb:23 pmb:408 smb:769 d:- ref:0 ;
in:101 out:101 type:P dur:2 cpbdur:2 q:30.29 aq:26.14 tex:11104 mv:2711 misc:1225 imb:20 pmb:447 smb:733 d:- ref:0 ;
in:102 out:102 type:P dur:2 cpbdur:2 q:30.17 aq:25.28 tex:12645 mv:3946 misc:1273 imb:18 pmb:594 smb:588 d:- ref:0 ;
in:103 out:103 type:P dur:2 cpbdur:2 q:30.04 aq:25.40 tex:12822 mv:3506 misc:1248 imb:26 pmb:540 smb:634 d:- ref:0 ;
in:104 out:104 type:P dur:2 cpbdur:2 q:29.94 aq:24.92 tex:9827 mv:2435 misc:1162 imb:8 pmb:421 smb:771 d:- ref:0 ;
in:105 out:105 type:P dur:2 cpbdur:2 q:29.83 aq:24.49 tex:13455 mv:2666 misc:1287 imb:10 pmb:484 smb:706 d:- ref:0 ;
in:106 out:106 type:P dur:2 cpbdur:2 q:29.71 aq:24.54 tex:13436 mv:3501 misc:1279 imb:18 pmb:553 smb:629 d:- ref:0 ;
in:107 out:107 type:P dur:2 cpbdur:2 q:29.61 aq:24.40 tex:14423 mv:3167 misc:1266 imb:14 pmb:531 smb:655 d:- ref:0 ;
in:108 out:108 type:P dur:2 cpbdur:2 q:29.52 aq:24.33 tex:16301 mv:3323 misc:1352 imb:16 pmb:617 smb:567 d:- ref:0 ;
in:109 out:109 type:P dur:2 cpbdur:2 q:29.42 aq:24.44 tex:81419 mv:4557 misc:1272 imb:99 pmb:537 smb:564 d:- ref:0 ;
in:110 out:110 type:P dur:2 cpbdur:2 q:29.32 aq:24.00 tex:32065 mv:2285 misc:1138 imb:13 pmb:439 smb:748 d:- ref:0 ;
in:111 out:111 type:P dur:2 cpbdur:2 q:29.22 aq:24.53 tex:20293 mv:2867 misc:1208 imb:19 pmb:481 smb:700 d:- ref:0 ;
in:112 out:112 type:P dur:2 cpbdur:2 q:29.14 aq:24.60 tex:13574 mv:1832 misc:1066 imb:6 pmb:334 smb:860 d:- ref:0 ;
in:113 out:113 type:P dur:2 cpbdur:2 q:29.05 aq:24.14 tex:23750 mv:2581 misc:1253 imb:9 pmb:523 smb:668 d:- ref:0 ;
in:114 out:114 type:P dur:2 cpbdur:2 q:28.98 aq:23.56 tex:18389 mv:3377 misc:1226 imb:16 pmb:579 smb:605 d:- ref:0 ;
in:115 out:115 type:P dur:2 cpbdur:2 q:29.16 aq:23.94 tex:19284 mv:3274 misc:1266 imb:16 pmb:562 smb:622 d:- ref:0 ;
in:116 out:116 type:P dur:2 cpbdur:2 q:29.14 aq:23.40 tex:17789 mv:3524 misc:1199 imb:20 pmb:572 smb:608 d:- ref:0 ;
in:117 out:117 type:P dur:2 cpbdur:2 q:29.08 aq:23.57 tex:18644 mv:2792 misc:1268 imb:24 pmb:502 smb:674 d:- ref:0 ;
